,Year,Term,Course,Section,Cross listing 1,Cross listing 2,Cross listing 3,Gender,Age,Student Status,Major ,College,Race,Ethnicity,Citizenship,Residency
91,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Hispanic,Hispanic Yes,,
92,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,Hispanic,Hispanic Yes,,
93,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,AGST ENVHORT,AGNR,Two or More,Hispanic No,,
94,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,White,Hispanic No,,
95,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ANIMAL SCI,AGNR,White,Hispanic No,,
96,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,CRIM-JUSTICE,BSOS,Asian,Hispanic No,,
97,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,CRIM-JUSTICE,BSOS,Black or African American,Hispanic No,,
98,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,GEO SCIENCES,BSOS,Hispanic,Hispanic Yes,,
99,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,ECONOMICS,BSOS,Hispanic,Hispanic Yes,,
100,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,GOVT & POLIT,BSOS,White,Hispanic No,,
101,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,ECONOMICS,BSOS,White,Hispanic No,,
102,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,COMPUTER SCI,CMNS,Asian,Hispanic No,,
103,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,COMPUTER SCI,CMNS,Asian,Hispanic No,,
104,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,MATHEMATICS,CMNS,White,Hispanic No,,
105,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,INFO SCI,INFO,White,Hispanic No,,
106,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,IAP,LTSC,Asian,Hispanic No,,
107,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,LTSC,LTSC,Asian,Hispanic No,,
108,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,IAP,LTSC,Asian,Hispanic No,,
109,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,LTSC,LTSC,Black or African American,Hispanic No,,
110,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,LTSC UNDECID,LTSC,Unknown,Hispanic No,,
111,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,LTSC UNDECID,LTSC,White,Hispanic No,,
112,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,IAP,LTSC,White,Hispanic No,,
113,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,LTSC UNDECID,LTSC,White,Hispanic No,,
114,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,LTSC UNDECID,LTSC,White,Hispanic No,,
115,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,LTSC UNDECID,LTSC,White,Hispanic No,,
116,2020,Fall,ANSC101,0101,,,,Male,,Undergraduate,LTSC,LTSC,White,Hispanic No,,
117,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,LTSC UNDECID,LTSC,White,Hispanic No,,
118,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,CATHOLIC UNI,SPEC,Unknown,Hispanic Unknown,,
119,2020,Fall,ANSC101,0101,,,,Female,,Undergraduate,ACA ACH PROG,UGST,Black or African American,Hispanic No,,
120,2020,Fall,ANTH461,0101,,,,Male,,Undergraduate,AGR&RES ECON,AGNR,Hispanic,Hispanic Yes,,
121,2020,Fall,ANTH461,0101,,,,Male,,Undergraduate,PHILOSOPHY,ARHU,Asian,Hispanic No,,
122,2020,Fall,ANTH461,0101,,,,Female,,Undergraduate,COMM,ARHU,Black or African American,Hispanic No,,
123,2020,Fall,ANTH461,0101,,,,Female,,Undergraduate,ARABIC,ARHU,Hispanic,Hispanic Yes,,
124,2020,Fall,ANTH461,0101,,,,Female,,Undergraduate,HISTORY,ARHU,Unknown,Hispanic No,,
125,2020,Fall,ANTH461,0101,,,,Male,,Undergraduate,FRENCH,ARHU,White,Hispanic No,,
126,2020,Fall,ANTH461,0101,,,,Female,,Undergraduate,GVPT INTLREL,BSOS,Black or African American,Hispanic No,,
127,2020,Fall,ANTH461,0101,,,,Male,,Undergraduate,ANTHROPOLOGY,BSOS,Black or African American,Hispanic No,,
128,2020,Fall,ANTH461,0101,,,,Female,,Undergraduate,CRIM-JUSTICE,BSOS,White,Hispanic No,,
129,2020,Fall,ANTH461,0101,,,,Male,,Undergraduate,ENGR-CIVIL,ENGR,Hispanic,Hispanic Yes,,
130,2020,Fall,BIOE489Y,0101,,,,Female,,Undergraduate,BIO ENGR,ENGR,Asian,Hispanic No,,
131,2020,Fall,BIOE489Y,0101,,,,Female,,Undergraduate,BIO ENGR,ENGR,Hispanic,Hispanic Yes,,
132,2020,Fall,BIOE489Y,0101,,,,Female,,Undergraduate,BIO ENGR,ENGR,Two or More,Hispanic No,,
133,2020,Fall,BIOE489Y,0101,,,,Female,,Undergraduate,BIO ENGR,ENGR,Unknown,Hispanic No,,
134,2020,Fall,BIOE489Y,0101,,,,Female,,Undergraduate,BIO ENGR,ENGR,White,Hispanic No,,
135,2020,Fall,BIOE489Y,0101,,,,Female,,Undergraduate,BIO ENGR,ENGR,White,Hispanic No,,
136,2020,Fall,BIOE489Y,0101,,,,Female,,Undergraduate,BIO ENGR,ENGR,White,Hispanic No,,
137,2020,Fall,BIOE489Y,0101,,,,Female,,Undergraduate,BIO ENGR,ENGR,White,Hispanic No,,
138,2020,Fall,BIOE489Y,0101,,,,Female,,Undergraduate,BIO ENGR,ENGR,White,Hispanic No,,
139,2020,Fall,BIOE489Y,0101,,,,Female,,Undergraduate,BIO ENGR,ENGR,White,Hispanic No,,
140,2020,Fall,BIOE489Y,0101,,,,Female,,Undergraduate,BIO ENGR,ENGR,White,Hispanic No,,
141,2020,Fall,BIOE489Y,0101,,,,Female,,Undergraduate,BIO ENGR,ENGR,White,Hispanic No,,
142,2020,Fall,BIOE489Y,0101,,,,Female,,Undergraduate,BIO ENGR,ENGR,White,Hispanic No,,
143,2020,Fall,CHBE472,0101,,,,Female,,Undergraduate,ENGR-CHEM,ENGR,Asian,Hispanic No,,
144,2020,Fall,CHBE472,0101,,,,Female,,Undergraduate,ENGR-CHEM,ENGR,Asian,Hispanic No,,
145,2020,Fall,CHBE472,0101,,,,Female,,Undergraduate,ENGR-CHEM,ENGR,Asian,Hispanic No,,
146,2020,Fall,CHBE472,0101,,,,Female,,Undergraduate,ENGR-CHEM,ENGR,Asian,Hispanic No,,
147,2020,Fall,CHBE472,0101,,,,Female,,Undergraduate,ENGR-CHEM,ENGR,Asian,Hispanic No,,
148,2020,Fall,CHBE472,0101,,,,Female,,Undergraduate,ENGR-CHEM,ENGR,Black or African American,Hispanic No,,
149,2020,Fall,CHBE472,0101,,,,Female,,Undergraduate,ENGR-CHEM,ENGR,Black or African American,Hispanic No,,
150,2020,Fall,CHBE472,0101,,,,Male,,Undergraduate,ENGR-CHEM,ENGR,Black or African American,Hispanic No,,
151,2020,Fall,CHBE472,0101,,,,Male,,Undergraduate,ENGR-CHEM,ENGR,Black or African American,Hispanic No,,
152,2020,Fall,CHBE472,0101,,,,Male,,Undergraduate,ENGR-CHEM,ENGR,Black or African American,Hispanic No,,
153,2020,Fall,CHBE472,0101,,,,Male,,Undergraduate,ENGR-CHEM,ENGR,Black or African American,Hispanic No,,
154,2020,Fall,CHBE472,0101,,,,Female,,Undergraduate,ENGR-CHEM,ENGR,Hispanic,Hispanic Yes,,
155,2020,Fall,CHBE472,0101,,,,Female,,Undergraduate,ENGR-CHEM,ENGR,Hispanic,Hispanic Yes,,
156,2020,Fall,CHBE472,0101,,,,Female,,Undergraduate,ENGR-CHEM,ENGR,White,Hispanic No,,
157,2020,Fall,CHBE472,0101,,,,Male,,Undergraduate,ENGR-CHEM,ENGR,White,Hispanic No,,
158,2020,Fall,CHBE472,0101,,,,Male,,Undergraduate,ENGR-CHEM,ENGR,White,Hispanic No,,
159,2020,Fall,CHBE472,0101,,,,Male,,Undergraduate,ENGR-CHEM,ENGR,White,Hispanic No,,
160,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,Asian,Hispanic No,,
161,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,Asian,Hispanic No,,
162,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,Asian,Hispanic No,,
163,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,Black or African American,Hispanic No,,
164,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,Hispanic,Hispanic Yes,,
165,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,Hispanic,Hispanic Yes,,
166,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,Hispanic,Hispanic Yes,,
167,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,Hispanic,Hispanic Yes,,
168,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,Unknown,Hispanic No,,
169,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,Unknown,Hispanic No,,
170,2020,Fall,ENAE481,0101,,,,Female,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
171,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
172,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
173,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
174,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
175,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
176,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
177,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
178,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
179,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
180,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
181,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
182,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
183,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
184,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
185,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
186,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
187,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
188,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
189,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
190,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
191,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
192,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
193,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
194,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
195,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
196,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
197,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
198,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
199,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
200,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
201,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
202,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
203,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
204,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
205,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
206,2020,Fall,ENAE481,0101,,,,Female,,Undergraduate,ENGR-AEROSP,ENGR,Two or More,Hispanic No,,
207,2020,Fall,ENAE481,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
208,2020,Fall,ENES424,0101,,,,Male,,Undergraduate,ECONOMICS,BSOS,Asian,Hispanic No,,
209,2020,Fall,ENES424,0101,,,,Male,,Undergraduate,COMPUTER SCI,CMNS,Asian,Hispanic No,,
210,2020,Fall,ENES424,0101,,,,Male,,Undergraduate,COMPUTER SCI,CMNS,Asian,Hispanic No,,
211,2020,Fall,ENES424,0101,,,,Male,,Undergraduate,COMPUTER SCI,CMNS,Asian,Hispanic No,,
212,2020,Fall,ENES424,0101,,,,Female,,Undergraduate,COMPUTER SCI,CMNS,Black or African American,Hispanic No,,
213,2020,Fall,ENES424,0101,,,,Male,,Undergraduate,COMPUTER SCI,CMNS,Black or African American,Hispanic No,,
214,2020,Fall,ENES424,0101,,,,Male,,Undergraduate,COMPUTER SCI,CMNS,White,Hispanic No,,
215,2020,Fall,ENES424,0101,,,,Male,,Undergraduate,CMSC DATASCI,CMNS,White,Hispanic No,,
216,2020,Fall,ENES424,0101,,,,Female,,Undergraduate,ENGR-MECH,ENGR,Asian,Hispanic No,,
217,2020,Fall,ENES424,0101,,,,Female,,Undergraduate,BIO ENGR,ENGR,Asian,Hispanic No,,
218,2020,Fall,ENES424,0101,,,,Female,,Undergraduate,BIO ENGR,ENGR,Black or African American,Hispanic No,,
219,2020,Fall,ENES424,0101,,,,Female,,Undergraduate,BIO ENGR,ENGR,Two or More,Hispanic No,,
220,2020,Fall,ENES424,0101,,,,Female,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
221,2020,Fall,ENES424,0101,,,,Female,,Undergraduate,ENGR-ELEC,ENGR,White,Hispanic No,,
222,2020,Fall,ENES424,0101,,,,Female,,Undergraduate,ENGR-ELEC,ENGR,White,Hispanic No,,
223,2020,Fall,ENES424,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
224,2020,Fall,ENES424,0101,,,,Male,,Undergraduate,ENGR-AEROSP,ENGR,White,Hispanic No,,
225,2020,Fall,ENES424,0101,,,,Male,,Undergraduate,ENGR-MECH,ENGR,White,Hispanic No,,
226,2020,Fall,ENES424,0101,,,,Male,,Undergraduate,ENGR-ELEC,ENGR,White,Hispanic No,,
227,2020,Fall,ENES424,0101,,,,Female,,Undergraduate,ENGR-FIRE,ENGR,Hispanic,Hispanic Yes,,
228,2020,Fall,ENES424,0101,,,,Male,,Undergraduate,ENGR-MECH,ENGR,Hispanic,Hispanic Yes,,
229,2020,Fall,ENES424,0101,,,,Male,,Undergraduate,INFO SCI,INFO,Black or African American,Hispanic No,,
230,2020,Fall,ENES472,0101,,,,Male,,Undergraduate,ENST ECODESN,AGNR,Hispanic,Hispanic Yes,,
